cluster_name,ra,dec,l,b,r_sun,r_sun_err,r_gc,rv,rv_err,pm_ra,pm_ra_err,pm_dec,pm_dec_err,ra_dec_cor,x_gc,x_gc_err,y_gc,y_gc_err,z_gc,z_gc_err,u,u_err,v,v_err,w,w_err,r_per,r_per_err,r_apo,r_apo_err,eccentricity,l_z,l_perp,energy,l_z_base,l_perp_base,energy_base,chen_class,mass_class
ESO_452-SC11,249.854167,-28.399167,351.909,12.098,7.39,0.2,2.12,16.75,0.44,-1.437,0.024,-6.471,0.022,-0.25,1.03,0.19,-1.02,0.03,1.55,0.04,-20.8,0.48,43.24,0.8,-94.85,0.81,0.35,0.1,2.37,0.13,0.6752293895424437,0.02385087494346367,0.07352153990398033,-0.21436506748619433,23.321200000000008,71.88878984410572,-204949.64541534818,-,-
NGC_6205,250.421814,36.459862,59.007,40.913,7.42,0.08,8.64,-244.9,0.3,-3.138,0.006,-2.572,0.006,0.23,5.29,0.03,4.81,0.05,4.86,0.05,30.36,0.24,-14.96,0.26,-77.75,0.26,1.51,0.01,8.73,0.04,0.672969928363756,-0.23028409820333917,0.6493012910436458,-0.15199959782812317,-225.17000000000002,634.8817519097711,-145323.41506694257,GS/E,GS/E
NGC_6229,251.745249,47.527796,73.639,40.306,30.11,0.47,29.45,-137.89,0.71,-1.156,0.017,-0.461,0.018,0.17,1.71,0.1,22.03,0.34,19.47,0.3,-7.59,2.53,30.75,1.77,45.79,1.93,1.43,0.2,30.36,0.4,0.921459383959156,0.22478211129782633,0.4788798130689325,-0.09649059278393961,219.7902,468.2449563387525,-92252.49714839282,GS/E,GS/E
NGC_6218,251.809067,-1.948528,15.715,26.313,5.11,0.05,4.57,-41.67,0.14,-0.198,0.005,-6.804,0.005,0.13,3.77,0.04,1.24,0.01,2.26,0.02,-49.03,0.14,114.68,0.13,-85.24,0.13,2.15,0.02,4.71,0.01,0.3221264542669152,0.5043410952403661,0.4308318287705907,-0.17651642098806997,493.1408,421.2640110243932,-168763.40121890968,in-situ,in-situ
FSR_1735,253.044174,-47.058056,339.188,-1.853,9.08,0.53,3.25,-69.85,4.88,-4.57,0.054,-1.515,0.046,-0.11,-0.31,0.49,-3.23,0.19,-0.29,0.02,113.12,4.59,111.87,2.63,120.05,2.2,1.13,0.14,4.12,0.39,0.4993639487515028,0.3382087652850647,0.3634172647704316,-0.1931279765950098,330.69789999999995,355.34657471703594,-184645.33791393077,-,-
NGC_6235,253.355676,-22.177447,358.918,13.518,11.94,0.38,4.42,126.68,0.33,-3.942,0.032,-7.602,0.031,-0.13,-3.43,0.37,-0.22,0.01,2.79,0.09,-144.47,0.52,-227.91,1.76,-43.18,1.72,3.5,0.38,7.49,1.09,0.3897905575177531,0.7669808404804724,0.8679798935799066,-0.1490712144365935,749.9479,848.7039885177518,-142523.65321781175,in-situ,GS/E
NGC_6254,254.28772,-4.100306,15.137,23.076,5.07,0.06,4.35,74.21,0.23,-4.763,0.011,-6.611,0.011,-0.07,3.68,0.06,1.22,0.02,1.99,0.03,-122.9,0.24,80.21,0.26,48.71,0.26,1.91,0.02,4.6,0.04,0.3878824000003187,0.4552202299532213,0.445396713692714,-0.17888854812990096,445.1108,435.50544221092116,-171031.33891183484,in-situ,L-E
NGC_6256,254.886107,-37.120968,347.792,3.307,7.24,0.29,1.94,-99.75,0.66,-3.685,0.019,-1.634,0.018,-0.14,1.11,0.29,-1.53,0.06,0.42,0.02,115.73,0.66,154.69,0.63,66.43,0.64,1.42,0.22,2.18,0.03,0.170933231547615,0.3566941853970492,0.17231919358334905,-0.21309548458340183,348.7728,168.49236713210485,-203735.8256041074,in-situ,L-E
Pal_15,254.9626,-0.539,18.849,24.337,44.1,1.14,37.28,72.27,1.74,-0.601,0.035,-0.855,0.029,-0.06,-29.85,0.98,12.98,0.33,18.17,0.47,-136.67,3.47,65.03,6.22,53.59,6.41,1.52,0.53,49.66,1.48,0.9208700491680869,-0.17096566764730747,1.031368180665295,-0.07467771298525273,-167.16890000000018,1008.4637847435923,-71397.69075361303,other,GS/E
NGC_6266,255.304153,-30.11339,353.575,7.318,6.03,0.09,2.46,-73.98,0.67,-5.03,0.031,-3.004,0.031,-0.05,2.24,0.09,-0.67,0.01,0.77,0.01,87.09,0.68,106.94,0.89,59.64,0.89,1.08,0.06,2.69,0.07,0.2703004046461177,0.3046617608472359,0.14239128238552204,-0.2104540280525739,297.89590000000004,139.2290883517162,-201210.38810758945,in-situ,in-situ
